# Sound aliases used by the vanilla TranZit + core zombie scripts (playsound / playloopsound / playsoundtoplayer / playlocalsound / playsoundatposition / play_sound_at_pos etc.). alias -> example file:line. Aliases not in this list may still exist but are unverified.
amb_sparks_l_b	Core/maps/mp/zombies/_zm_traps.gsc:294
evt_jetgun_zmb_suck	Maps/Tranzit/maps/mp/zombies/_zm_weap_jetgun.gsc:636
evt_jump_pad_charge	Core/maps/mp/zombies/_zm_jump_pad.gsc:107
evt_jump_pad_charge_short	Core/maps/mp/zombies/_zm_jump_pad.gsc:105
evt_jump_pad_launch	Core/maps/mp/zombies/_zm_jump_pad.gsc:226
evt_laststand_loop	Core/clientscripts/mp/zombies/_zm.csc:1529
evt_nuke_flash	Core/maps/mp/zombies/_zm_powerups.gsc:1512
evt_nuked	Core/maps/mp/zombies/_zm_powerups.gsc:1495
evt_perk_deny	Core/maps/mp/zombies/_zm_perks.gsc:1869
evt_perk_throwup	Core/maps/mp/zombies/_zm_hackables_perks.gsc:71
evt_player_downgrade	Core/maps/mp/zombies/_zm_pers_upgrades_system.gsc:128
evt_player_swiped	Core/maps/mp/zombies/_zm.gsc:5248
evt_player_upgrade	Core/maps/mp/zombies/_zm_pers_upgrades_system.gsc:91
evt_plr_fire_loop	Maps/Tranzit/maps/mp/zm_transit_lava.gsc:253
evt_spawn	Core/maps/mp/zombies/_zm_turned.gsc:67
evt_vent_slat_remove	Core/maps/mp/zombies/_zm_blockers.gsc:1837
evt_ww_appear	Core/maps/mp/zombies/_zm_chugabud.gsc:157
evt_ww_disappear	Core/maps/mp/zombies/_zm_chugabud.gsc:162
evt_zmb_robot_hat	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:519
evt_zmb_robot_jerk	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:489
evt_zmb_robot_spin	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:517
exp_vault_explode	Maps/Tranzit/maps/mp/zm_transit_classic.gsc:249
fire_manager_0	Core/maps/mp/zombies/_zm_traps.gsc:721
fly_bodyfall_large_	Core/maps/mp/animscripts/zm_shared.gsc:186
fly_bodyfall_small_	Core/maps/mp/animscripts/zm_shared.gsc:188
fly_dog_step_run_default	Core/maps/mp/animscripts/zm_shared.gsc:51
fly_equipment_pickup_npc	Core/maps/mp/gametypes_zm/_weapons.gsc:1641
fly_equipment_pickup_plr	Core/maps/mp/gametypes_zm/_weapons.gsc:1642
fly_gear_run	Core/maps/mp/animscripts/zm_shared.gsc:199
fly_glass_break	Maps/Tranzit/maps/mp/zm_transit_utility.gsc:179
fly_land_npc_	Core/maps/mp/animscripts/zm_shared.gsc:219
fly_riotshield_forcehit	Maps/Tranzit/maps/mp/zombies/_zm_weap_riotshield.gsc:445
fly_riotshield_zm_impact_flesh	Core/maps/mp/zombies/_zm_equipment.gsc:1626
fly_riotshield_zm_impact_zombies	Maps/Tranzit/maps/mp/zombies/_zm_weap_riotshield.gsc:305
fly_step_run_	Core/maps/mp/animscripts/zm_shared.gsc:401
fly_step_run_dirt	Core/maps/mp/animscripts/zm_shared.gsc:375
fly_step_scrape_	Core/maps/mp/animscripts/zm_shared.gsc:209
fly_step_zombie_bus	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:975
fly_thundergun_forcehit	Core/maps/mp/zombies/_zm_weap_thundergun.gsc:314
grab_metal_bar	Maps/Tranzit/maps/mp/zm_transit_openings.gsc:861
ignite	Maps/Tranzit/maps/mp/zm_transit_lava.gsc:275
mpl_player_heartbeat	Core/maps/mp/gametypes_zm/_healthoverlay.gsc:266
mpl_turret_alert	Core/maps/mp/zombies/_zm_mgturret.gsc:209
mpl_ui_timer_countdown	Core/maps/mp/gametypes_zm/_globallogic.gsc:1759
mus_challenge_complete	Core/maps/mp/gametypes_zm/_globallogic_spawn.gsc:551
mus_contract_complete	Core/maps/mp/gametypes_zm/_globallogic_spawn.gsc:553
mus_fire_sale	Core/maps/mp/zombies/_zm_powerups.gsc:1936
mus_fire_sale_rich	Core/maps/mp/zombies/_zm_powerups.gsc:1934
mus_level_up	Core/maps/mp/gametypes_zm/_globallogic_spawn.gsc:549
mus_raygun_stinger	Core/maps/mp/zombies/_zm_weapons.gsc:2460
mus_zmb_gamemode_loop	Core/clientscripts/mp/zombies/_zm_audio.csc:62
mus_zmb_secret_song	Maps/Tranzit/maps/mp/zm_transit.gsc:3376
music_chest	Core/maps/mp/zombies/_zm_hackables_box.gsc:127
no_purchase	Maps/Tranzit/maps/mp/zombies/_zm_melee_weapon.gsc:464
open_chest	Core/maps/mp/zombies/_zm_hackables_box.gsc:126
pre_spawn	Core/maps/mp/zombies/_zm_powerups.gsc:854
prj_bullet_impact_headshot_helmet_nodie_2d	Core/maps/mp/gametypes_zm/_globallogic_player.gsc:1091
purchase	Maps/Tranzit/maps/mp/zombies/_zm_weap_claymore.gsc:72
rebuild_barrier_piece	Core/maps/mp/zombies/_zm_blockers.gsc:1504
spawn	Core/maps/mp/zombies/_zm_powerups.gsc:859
tesla_idle	Core/maps/mp/zombies/_zm_weap_thundergun.gsc:350
uin_notify_data_loop	Core/clientscripts/mp/_audio.csc:926
vox_maxi_tv_distress_0	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1098
vox_mcomp_hack_fail	Core/maps/mp/zombies/_zm_equip_hacker.gsc:582
vox_mcomp_hack_success	Core/maps/mp/zombies/_zm_equip_hacker.gsc:580
vox_pain_small	Core/maps/mp/gametypes_zm/_globallogic_audio.gsc:310
vox_plr_	Core/maps/mp/zombies/_zm_turned.gsc:71
vox_riotshield_forcehit	Maps/Tranzit/maps/mp/zombies/_zm_weap_riotshield.gsc:433
vox_thundergun_forcehit	Core/maps/mp/zombies/_zm_weap_thundergun.gsc:295
vox_zmba_event_dogstart_0	Core/maps/mp/zombies/_zm_ai_dogs.gsc:109
vox_zmba_first_drop_0	Maps/Tranzit/maps/mp/zm_transit.gsc:3240
vox_zmba_grief_intro_0	Maps/Tranzit/maps/mp/gametypes_zm/zgrief.gsc:241
vox_zmba_sidequest_power_on_0	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1043
weapon_show	Maps/Tranzit/maps/mp/zombies/_zm_melee_weapon.gsc:492
wpn_claymore_alert	Maps/Tranzit/maps/mp/zombies/_zm_weap_claymore.gsc:350
wpn_jetgun_effect_plr_end	Maps/Tranzit/maps/mp/zombies/_zm_weap_jetgun.gsc:325
wpn_jetgun_effect_plr_loop	Maps/Tranzit/maps/mp/zombies/_zm_weap_jetgun.gsc:302
wpn_jetgun_effect_plr_start	Maps/Tranzit/maps/mp/zombies/_zm_weap_jetgun.gsc:303
wpn_jetgun_explo	Maps/Tranzit/maps/mp/zombies/_zm_weap_jetgun.gsc:220
wpn_riotshield_proj_impact	Maps/Tranzit/maps/mp/zombies/_zm_weap_riotshield.gsc:434
wpn_riotshield_zm_destroy	Maps/Tranzit/maps/mp/zombies/_zm_weap_riotshield.gsc:194
wpn_thundergun_proj_impact	Core/maps/mp/zombies/_zm_weap_thundergun.gsc:296
wpn_zmb_electrap_loop	Maps/Tranzit/maps/mp/zombies/_zm_equip_electrictrap.gsc:239
wpn_zmb_electrap_start	Maps/Tranzit/maps/mp/zombies/_zm_equip_electrictrap.gsc:238
wpn_zmb_electrap_stop	Maps/Tranzit/maps/mp/zombies/_zm_equip_electrictrap.gsc:205
wpn_zmb_electrap_zap	Maps/Tranzit/maps/mp/zombies/_zm_equip_electrictrap.gsc:299
wpn_zmb_turret_loop	Maps/Tranzit/maps/mp/zombies/_zm_equip_turret.gsc:301
wpn_zmb_turret_start	Maps/Tranzit/maps/mp/zombies/_zm_equip_turret.gsc:300
wpn_zmb_turret_stop	Maps/Tranzit/maps/mp/zombies/_zm_equip_turret.gsc:248
zmb_avogadro_attack	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:1046
zmb_avogadro_death	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:669
zmb_avogadro_death_short	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:653
zmb_avogadro_electrified	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:1070
zmb_avogadro_loop	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:811
zmb_avogadro_pain	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:1253
zmb_avogadro_spawn_3d	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:810
zmb_avogadro_thunder_overhead	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:718
zmb_avogadro_warp_in	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:963
zmb_avogadro_warp_out	Maps/Tranzit/maps/mp/zombies/_zm_ai_avogadro.gsc:939
zmb_bolt	Maps/Tranzit/maps/mp/gametypes_zm/zmeat.gsc:1002
zmb_box_move	Core/maps/mp/zombies/_zm_perks.gsc:1164
zmb_box_poof	Core/maps/mp/zombies/_zm_magicbox.gsc:326
zmb_box_poof_land	Core/maps/mp/zombies/_zm_powerups.gsc:1859
zmb_break_glass_barrier	Core/maps/mp/zombies/_zm_blockers.gsc:1811
zmb_break_rock_barrier	Core/maps/mp/zombies/_zm_blockers.gsc:1827
zmb_buildable_pickup	Maps/Tranzit/maps/mp/zm_transit_buildables.gsc:249
zmb_buildable_piece_add	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1074
zmb_bus_car_scrape	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:2967
zmb_bus_door_close	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:176
zmb_bus_door_open	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:171
zmb_bus_emp_shutdown	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3097
zmb_bus_exterior_loop	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3077
zmb_bus_horn_leave	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3070
zmb_bus_horn_warn	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3067
zmb_bus_interior_loop	Maps/Tranzit/clientscripts/mp/zm_transit_amb.csc:193
zmb_bus_lava_wheels_loop	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3148
zmb_bus_start_idle	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3066
zmb_bus_start_move	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3071
zmb_bus_stop_move	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:3090
zmb_cha_ching	Core/maps/mp/zombies/_zm_blockers.gsc:1506
zmb_cha_ching_loud	Maps/Tranzit/maps/mp/zm_transit_classic.gsc:259
zmb_character_revived	Core/maps/mp/zombies/_zm.gsc:1843
zmb_cherry_explode	Core/maps/mp/zombies/_zm_perk_electric_cherry.gsc:124
zmb_chugabud_timer_count	Core/maps/mp/zombies/_zm_chugabud.gsc:621
zmb_chugabud_timer_out	Core/maps/mp/zombies/_zm_chugabud.gsc:630
zmb_couch_slam	Core/maps/mp/zombies/_zm_powerups.gsc:1860
zmb_dog_round_start	Core/maps/mp/zombies/_zm_ai_dogs.gsc:386
zmb_double_point_loop	Core/maps/mp/zombies/_zm_powerups.gsc:1187
zmb_elec_arc	Core/maps/mp/zombies/_zm_traps.gsc:438
zmb_elec_jib_zombie	Core/maps/mp/zombies/_zm_perk_electric_cherry.gsc:167
zmb_elec_loop	Core/maps/mp/zombies/_zm_traps.gsc:408
zmb_elec_start	Core/maps/mp/zombies/_zm_traps.gsc:407
zmb_elec_vocals	Core/maps/mp/zombies/_zm_traps.gsc:660
zmb_exp_jib_zombie	Core/maps/mp/zombies/_zm_traps.gsc:662
zmb_fire_loop	Maps/Tranzit/maps/mp/zm_transit_lava.gsc:224
zmb_firetrap_end	Core/maps/mp/zombies/_zm_traps.gsc:423
zmb_firetrap_loop	Core/maps/mp/zombies/_zm_traps.gsc:415
zmb_firetrap_start	Core/maps/mp/zombies/_zm_traps.gsc:414
zmb_hellbox_lock	Core/maps/mp/zombies/_zm_magicbox_lock.gsc:59
zmb_hellbox_unlock	Core/maps/mp/zombies/_zm_magicbox_lock.gsc:73
zmb_hellhound_bolt	Core/maps/mp/zombies/_zm_ai_dogs.gsc:204
zmb_hellhound_explode	Core/maps/mp/zombies/_zm_ai_dogs.gsc:529
zmb_hellhound_prespawn	Core/maps/mp/zombies/_zm_ai_dogs.gsc:202
zmb_hellhound_spawn	Core/maps/mp/zombies/_zm_ai_dogs.gsc:207
zmb_hellhound_vocals_amb	Core/maps/mp/zombies/_zm_ai_dogs.gsc:723
zmb_hellhound_vocals_close	Core/maps/mp/zombies/_zm_ai_dogs.gsc:554
zmb_hellhound_vocals_death	Core/maps/mp/zombies/_zm_ai_dogs.gsc:523
zmb_insta_kill_loop	Core/maps/mp/zombies/_zm_powerups.gsc:1716
zmb_land_meat	Maps/Tranzit/maps/mp/gametypes_zm/zgrief.gsc:298
zmb_lightning_l	Core/maps/mp/zombies/_zm_blockers.gsc:1023
zmb_meat_bounce	Maps/Tranzit/maps/mp/gametypes_zm/zmeat.gsc:1766
zmb_meat_flies	Maps/Tranzit/maps/mp/gametypes_zm/zgrief.gsc:301
zmb_meat_looper	Maps/Tranzit/maps/mp/gametypes_zm/zmeat.gsc:408
zmb_meat_meat_tossed	Maps/Tranzit/maps/mp/gametypes_zm/zmeat.gsc:760
zmb_meteor_activate	Maps/Tranzit/maps/mp/zm_transit.gsc:3353
zmb_meteor_loop	Maps/Tranzit/maps/mp/zm_transit.gsc:3349
zmb_monkey_song	Core/maps/mp/zombies/_zm_weap_cymbal_monkey.gsc:440
zmb_perks_broken_jingle	Core/maps/mp/zombies/_zm_audio.gsc:1009
zmb_perks_machine_loop	Core/maps/mp/zombies/_zm_perks.gsc:1518
zmb_perks_packa_deny	Core/maps/mp/zombies/_zm_perks.gsc:795
zmb_perks_packa_loop	Core/maps/mp/zombies/_zm_perks.gsc:533
zmb_perks_packa_ready	Core/maps/mp/zombies/_zm.gsc:3216
zmb_perks_packa_ticktock	Core/maps/mp/zombies/_zm_perks.gsc:721
zmb_perks_packa_upgrade	Core/maps/mp/zombies/_zm_perks.gsc:381
zmb_perks_power_on	Core/maps/mp/zombies/_zm_perks.gsc:951
zmb_pickup_meat	Maps/Tranzit/maps/mp/gametypes_zm/zgrief.gsc:286
zmb_player_death_fall	Maps/Tranzit/maps/mp/zm_transit.gsc:2159
zmb_player_hit_ding	Core/maps/mp/gametypes_zm/_zm_gametype.gsc:341
zmb_points_loop_off	Core/maps/mp/zombies/_zm_powerups.gsc:1203
zmb_power_off_quad	Maps/Tranzit/maps/mp/zm_transit_power.gsc:414
zmb_power_on_loop	Maps/Tranzit/maps/mp/zm_transit_power.gsc:408
zmb_power_rise_loop	Maps/Tranzit/maps/mp/zm_transit_power.gsc:400
zmb_power_rise_start	Maps/Tranzit/maps/mp/zm_transit_power.gsc:399
zmb_power_rise_stop	Maps/Tranzit/maps/mp/zm_transit_power.gsc:409
zmb_powerup_grabbed	Maps/Tranzit/maps/mp/zm_transit_automaton.gsc:467
zmb_progress_bar	Core/maps/mp/zombies/_zm_equip_hacker.gsc:560
zmb_screecher_arm_loop	Maps/Tranzit/clientscripts/mp/zm_transit_amb.csc:272
zmb_screecher_dig	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:53
zmb_screecher_impact	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:651
zmb_screecher_portal_arrive	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:176
zmb_screecher_portal_end	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:151
zmb_screecher_portal_loop	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:99
zmb_screecher_portal_spawn	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:79
zmb_screecher_portal_warp_2d	Maps/Tranzit/maps/mp/zm_transit_ai_screecher.gsc:149
zmb_screecher_scratch	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:767
zmb_souls_end	Maps/Tranzit/maps/mp/zombies/_zm_game_module_meat_utility.gsc:578
zmb_souls_loop	Maps/Tranzit/clientscripts/mp/zombies/_zm_game_mode_objects.csc:365
zmb_spawn_powerup	Maps/Tranzit/maps/mp/gametypes_zm/zmeat.gsc:2080
zmb_spawn_powerup_loop	Core/maps/mp/zombies/_zm_hackables_box.gsc:201
zmb_sq_navcard_success	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1436
zmb_switch_flip	Maps/Tranzit/maps/mp/zm_transit_power.gsc:57
zmb_toilet_flush	Maps/Tranzit/maps/mp/zm_transit.gsc:3395
zmb_tombstone_grab	Core/maps/mp/zombies/_zm_tombstone.gsc:203
zmb_tombstone_looper	Core/maps/mp/zombies/_zm_tombstone.gsc:327
zmb_tombstone_spawn	Core/maps/mp/zombies/_zm_tombstone.gsc:326
zmb_tombstone_timer_count	Core/maps/mp/zombies/_zm_tombstone.gsc:380
zmb_tombstone_timer_out	Core/maps/mp/zombies/_zm_tombstone.gsc:389
zmb_turbine_explo	Core/maps/mp/zombies/_zm_equip_turbine.gsc:447
zmb_turbine_loop	Core/maps/mp/zombies/_zm_equip_turbine.gsc:399
zmb_turn_on	Maps/Tranzit/maps/mp/zm_transit_power.gsc:60
zmb_vault_bank_deposit	Maps/Tranzit/maps/mp/zombies/_zm_banking.gsc:223
zmb_vault_bank_withdraw	Maps/Tranzit/maps/mp/zombies/_zm_banking.gsc:267
zmb_vocals_screecher_attack	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:766
zmb_vocals_screecher_breath	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:466
zmb_vocals_screecher_death	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:944
zmb_vocals_screecher_jump	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:554
zmb_vocals_screecher_pain	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:449
zmb_vocals_screecher_spawn	Maps/Tranzit/maps/mp/zombies/_zm_ai_screecher.gsc:139
zmb_vox_monkey_explode	Core/maps/mp/zombies/_zm_weap_cymbal_monkey.gsc:477
zmb_vox_monkey_scream	Core/maps/mp/zombies/_zm_weap_cymbal_monkey.gsc:71
zmb_vox_zombie_groan	Core/maps/mp/zombies/_zm_weap_cymbal_monkey.gsc:543
zmb_weap_wall	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1082
zmb_whoosh	Core/maps/mp/zombies/_zm_perks.gsc:1165
zmb_zombie_arc	Maps/Tranzit/maps/mp/zm_transit_sq.gsc:1062
zmb_zombie_end_inert	Core/maps/mp/zombies/_zm_ai_basic.gsc:326
zmb_zombie_go_inert	Core/maps/mp/zombies/_zm_ai_basic.gsc:223
zmb_zombie_spawn	Core/maps/mp/zombies/_zm_ai_faller.gsc:446
